А A
Б B
В V
Г G
Д D
Е E
Ё YO
Ж ZH
З Z
И I
Й J
К K
Л L
М M
Н N
О O
П P
Р R
С S
Т T
У U
Ф F
Х KH
Ц C
Ч CH
Ш SH
Щ SHCH
Ъ HARD_SIGN
Ы Y
Ь SOFT_SIGN
Э EH
Ю YU
Я YA
Щука PIKE 
Козёл GOAT
Пень STUMP
Хомяк HAMSTER
Петух COCK
Эму EMU
Грач ROOK
Заяц HARE
Сойка JAY
Слон ELEPHANT
Краб CRAB
Жираф GIRAFFE
Лес FOREST
Лиса FOX
Оса WASP
Аист STORK
Енот RACCOON
Сова OWL
Зебра ZEBRA
Белка SQUIRREL
Тюлень SEA_CALF
Мышь MOUSE
Индюк TURKEY
Ландыш LILY
Овца SHEEP
Гриф VULTURE
Алоэ ALOE
Буйвол BUFFALO
Чиж CHIZH
Ехидна ECHIDNA
Ёж HEDGEHOG
Лев LION
Щегол GOLDFINCH
Url FAKE_URL
